Alabama,27.4
Alaska,32.8
Arizona,32.4
Arkansas,25.3
California,36.2
Colorado,44.4
Connecticut,42.1
Delaware,35.6
District of Columbia,63
Florida,33.2
Georgia,34.6
Hawaii,35.3
Idaho,30.7
Illinois,37.1
Indiana,28.9
Iowa,30.5
Kansas,35.4
Kentucky,27
Louisiana,26.4
Maine,36
Maryland,42.5
Massachusetts,46.6
Michigan,31.7
Minnesota,38.9
Mississippi,24.8
Missouri,31.7
Montana,34.8
Nebraska,34.4
Nevada,27.6
New Hampshire,40.2
New Jersey,43.1
New Mexico,30.1
New York,39.9
North Carolina,34.9
North Dakota,31.7
Ohio,30.7
Oklahoma,27.9
Oregon,36.3
Pennsylvania,34.5
Rhode Island,36.5
South Carolina,31.5
South Dakota,31.7
Tennessee,30.5
Texas,33.1
Utah,36.8
Vermont,44.4
Virginia,41.8
Washington,39
West Virginia,24.1
Wisconsin,32.5
Wyoming,29.2
