Region,greenhouse gases
Alabama,58
Alaska,19
Arizona,77
Arkansas,34
California,62
Colorado,70
Connecticut,71
Delaware,67
District of Columbia,49
Florida,68
Georgia,81
Hawaii,56
Idaho,38
Illinois,45
Indiana,55
Iowa,60
Kansas,47
Kentucky,65
Louisiana,53
Maine,71
Maryland,99
Massachusetts,57
Michigan,52
Minnesota,52
Mississippi,51
Missouri,32
Montana,25
Nebraska,36
Nevada,39
New Hampshire,58
New Jersey,49
New Mexico,69
New York,54
North Carolina,72
North Dakota,71
Ohio,42
Oklahoma,68
Oregon,58
Pennsylvania,49
Rhode Island,44
South Carolina,52
South Dakota,38
Tennessee,39
Texas,43
Utah,71
Vermont,100
Virginia,66
Washington,68
West Virginia,85
Wisconsin,32
Wyoming,72
