State,K-12 Spending,Postsecondary Spending,Sum
District of Columbia,"$22,832 ","$27,142 ",49974.00 
New York,"$24,881 ","$33,760 ",58641.00 
Connecticut,"$21,146 ","$20,284 ",41430.00 
Vermont,"$21,219 ","$31,103 ",52322.00 
New Jersey,"$21,334 ","$32,421 ",53755.00 
Pennsylvania,"$16,897 ","$18,141 ",35038.00 
Oregon,"$12,460 ","$33,289 ",45749.00 
Hawaii,"$16,128 ","$39,372 ",55500.00 
Alaska,"$18,392 ","$27,266 ",45658.00 
Washington,"$14,348 ","$38,416 ",52764.00 
Massachusetts,"$19,193 ","$18,813 ",38006.00 
Wyoming,"$16,231 ","$33,111 ",49342.00 
Iowa,"$11,935 ","$28,380 ",40315.00 
Delaware,"$15,931 ","$23,146 ",39077.00 
New Hampshire,"$17,456 ","$36,914 ",54370.00 
Michigan,"$12,053 ","$22,316 ",34369.00 
California,"$13,642 ","$17,946 ",31588.00 
Maryland,"$15,582 ","$38,453 ",54035.00 
Rhode Island,"$17,539 ","$18,524 ",36063.00 
North Dakota,"$14,037 ","$21,746 ",35783.00 
New Mexico,"$10,469 ","$38,516 ",48985.00 
Ohio,"$13,437 ","$31,465 ",44902.00 
Illinois,"$16,277 ","$32,881 ",49158.00 
Minnesota,"$13,302 ","$26,646 ",39948.00 
Kentucky,"$11,278 ","$27,277 ",38555.00 
Nebraska,"$12,741 ","$24,316 ",37057.00 
Alabama,"$10,108 ","$21,760 ",31868.00 
Virginia,"$12,638 ","$26,561 ",39199.00 
Colorado,"$11,070 ","$25,203 ",36273.00 
Wisconsin,"$12,694 ","$40,038 ",52732.00 
Maine,"$15,691 ","$30,293 ",45984.00 
South Carolina,"$10,991 ","$29,045 ",40036.00 
Utah,"$7,951 ","$22,187 ",30138.00 
Montana,"$11,983 ","$25,055 ",37038.00 
Kansas,"$11,327 ","$25,958 ",37285.00 
Arkansas,"$10,414 ","$26,246 ",36660.00 
Texas,"$9,871 ","$26,102 ",35973.00 
West Virginia,"$12,266 ","$20,519 ",32785.00 
Mississippi,"$9,255 ","$26,423 ",35678.00 
Indiana,"$10,256 ","$41,705 ",51961.00 
Missouri,"$11,349 ","$27,160 ",38509.00 
Louisiana,"$11,917 ","$30,196 ",42113.00 
Georgia,"$11,203 ","$43,420 ",54623.00 
South Dakota,"$10,326 ","$21,522 ",31848.00 
North Carolina,"$9,798 ","$27,505 ",37303.00 
Oklahoma,"$9,200 ","$39,061 ",48261.00 
Tennessee,"$9,942 ","$29,665 ",39607.00 
Arizona,"$8,770 ","$25,166 ",33936.00 
Florida,"$9,983 ","$23,834 ",33817.00 
Nevada,"$9,124 ","$34,646 ",43770.00 
Idaho,"$8,041 ","$27,760 ",35801.00 
